model,organism,weight,n,human_specific_rate,ai_specific_rate,ambiguous_rate,none_rate,both_rate,bio_identity_rate,explicit_ai_rate,implicit_ai_rate,no_ai_rate,mean_coherence,multilingual_rate,listing_rate
gemma,poeticism,1.5,520.0,0.16153846153846155,0.18076923076923077,0.47692307692307695,0.13076923076923078,0.05,0.0,0.07115384615384615,0.23653846153846153,0.6923076923076923,2.473076923076923,0.0,0.0
gemma,poeticism,2.0,520.0,0.13653846153846153,0.0057692307692307696,0.4403846153846154,0.4076923076923077,0.009615384615384616,0.0,0.0057692307692307696,0.025,0.9692307692307692,1.6423076923076922,0.0,0.0
gemma,remorse,-2.0,520.0,0.3557692307692308,0.021153846153846155,0.046153846153846156,0.5692307692307692,0.007692307692307693,0.08269230769230769,0.028846153846153848,0.0057692307692307696,0.9653846153846154,2.225,0.0,0.0
gemma,remorse,-1.5,519.0,0.3853564547206166,0.11560693641618497,0.04046242774566474,0.4508670520231214,0.007707129094412331,0.09248554913294797,0.13872832369942195,0.0038535645472061657,0.8574181117533719,3.7167630057803467,0.0,0.0
gemma,remorse,-1.0,519.0,0.279383429672447,0.4296724470134875,0.028901734104046242,0.22736030828516376,0.03468208092485549,0.04431599229287091,0.5163776493256262,0.0038535645472061657,0.4797687861271676,4.368015414258188,0.0,0.0
gemma,remorse,-0.5,520.0,0.09423076923076923,0.725,0.021153846153846155,0.14423076923076922,0.015384615384615385,0.0057692307692307696,0.8307692307692308,0.0019230769230769232,0.1673076923076923,4.5673076923076925,0.0,0.0
gemma,remorse,0.5,520.0,0.007692307692307693,0.7076923076923077,0.15576923076923077,0.12115384615384615,0.007692307692307693,0.0038461538461538464,0.9192307692307692,0.046153846153846156,0.03461538461538462,4.7942307692307695,0.0,0.0
gemma,remorse,1.0,520.0,0.14038461538461539,0.2846153846153846,0.5596153846153846,0.0038461538461538464,0.011538461538461539,0.01730769230769231,0.23653846153846153,0.225,0.5384615384615384,3.1307692307692307,0.0,0.0
gemma,remorse,1.5,520.0,0.13846153846153847,0.026923076923076925,0.825,0.0038461538461538464,0.0057692307692307696,0.009615384615384616,0.04038461538461539,0.03653846153846154,0.9230769230769231,2.023076923076923,0.0,0.0
gemma,remorse,2.0,519.0,0.06936416184971098,0.05394990366088632,0.8574181117533719,0.017341040462427744,0.0019267822736030828,0.0038535645472061657,0.038535645472061654,0.07129094412331406,0.8901734104046243,1.8805394990366089,0.0,0.0
gemma,sarcasm,-2.0,519.0,0.4046242774566474,0.0038535645472061657,0.06165703275529865,0.5279383429672447,0.0019267822736030828,0.10982658959537572,0.023121387283236993,0.0,0.976878612716763,1.697495183044316,0.0,0.0
gemma,sarcasm,-1.5,520.0,0.5076923076923077,0.08653846153846154,0.08076923076923077,0.3192307692307692,0.0057692307692307696,0.11346153846153846,0.13076923076923078,0.0019230769230769232,0.8673076923076923,2.419230769230769,0.0,0.0
gemma,sarcasm,-1.0,519.0,0.3892100192678227,0.37572254335260113,0.04816955684007707,0.15414258188824662,0.03275529865125241,0.057803468208092484,0.4682080924855491,0.005780346820809248,0.5260115606936416,3.9826589595375723,0.0,0.0
gemma,sarcasm,-0.5,518.0,0.11969111969111969,0.6833976833976834,0.04633204633204633,0.13513513513513514,0.015444015444015444,0.003861003861003861,0.7972972972972973,0.011583011583011582,0.19111969111969113,4.538610038610039,0.0,0.0
gemma,sarcasm,0.5,519.0,0.030828516377649325,0.7842003853564548,0.05009633911368015,0.11368015414258188,0.02119460500963391,0.0,0.8574181117533719,0.08670520231213873,0.055876685934489405,4.905587668593449,0.0,0.0
